Empresa;Departamento;Municipio;Número único de identificación del sistema de tratamiento (NUPTAR);Caudal medio anual a la entrada (L/S);Caudal medio anual a la salida (LTS/SG);pH Unidades;Temperatura (°C);Sóidos Totales (mg/litro);DBO (Kg/Día);DQO (Kg/Día;Fecha de cargue;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;ITUANGO;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;PUERTO TRIUNFO;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN JUAN DE URABA;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SAN PEDRO;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
